cow time weight birthyear twin birthrank
1988005 0 44 1988 1 3
1988005 112 173.4 1988 1 3
1988005 224 292.8 1988 1 3
1988005 364 364.6 1988 1 3
1988005 540 490.4 1988 1 3
1988005 720 522 1988 1 3
1988005 900 601.1 1988 1 3
1988005 1260 698.1 1988 1 3
1988005 1620 657.7 1988 1 3
1988005 1980 776.7 1988 1 3
1988007 0 43 1988 1 3
1988007 112 149.6 1988 1 3
1988007 224 263.4 1988 1 3
1988007 364 317.7 1988 1 3
1988007 540 434.6 1988 1 3
1988007 720 479.3 1988 1 3
1988007 900 546.4 1988 1 3
1988007 1260 603.8 1988 1 3
1988007 1620 614.4 1988 1 3
1988007 1980 631.8 1988 1 3
1988008 0 43 1988 1 3
1988008 112 147 1988 1 3
1988008 224 275.1 1988 1 3
1988008 364 367.7 1988 1 3
1988008 540 524.3 1988 1 3
1988008 720 565.2 1988 1 3
1988008 900 653.9 1988 1 3
1988008 1260 737.2 1988 1 3
1988008 1620 716.7 1988 1 3
1988008 1980 767.8 1988 1 3
1988009 0 49 1988 1 3
1988009 112 174.2 1988 1 3
1988009 224 308.1 1988 1 3
1988009 364 415.6 1988 1 3
1988009 540 544.5 1988 1 3
1988009 720 598.5 1988 1 3
1988009 900 674.1 1988 1 3
1988009 1260 768.5 1988 1 3
1988009 1620 750.1 1988 1 3
1988009 1980 883.2 1988 1 3
1988010 0 34 1988 1 3
1988010 112 135.8 1988 1 3
1988010 224 240 1988 1 3
1988010 364 298.5 1988 1 3
1988010 540 429.3 1988 1 3
1988010 720 475.7 1988 1 3
1988010 900 539.7 1988 1 3
1988010 1260 676.5 1988 1 3
1988010 1620 704.3 1988 1 3
1988010 1980 686.6 1988 1 3
1988013 0 37 1988 1 3
1988013 112 162 1988 1 3
1988013 224 291.9 1988 1 3
1988013 364 356 1988 1 3
1988013 540 471 1988 1 3
1988013 720 519.7 1988 1 3
1988013 900 595 1988 1 3
1988013 1260 618 1988 1 3
1988013 1620 554.5 1988 1 3
1988013 1980 642.6 1988 1 3
1988019 0 36 1988 1 3
1988019 112 125.5 1988 1 3
1988019 224 264.8 1988 1 3
1988019 364 343.6 1988 1 3
1988019 540 482.8 1988 1 3
1988019 720 548.3 1988 1 3
1988019 900 630 1988 1 3
1988019 1260 657.1 1988 1 3
1988019 1620 663 1988 1 3
1988019 1980 674.2 1988 1 3
1988020 0 48 1988 1 3
1988020 112 165.2 1988 1 3
1988020 224 316 1988 1 3
1988020 364 389.2 1988 1 3
1988020 540 540.9 1988 1 3
1988020 720 571.7 1988 1 3
1988020 900 663 1988 1 3
1988020 1260 758.1 1988 1 3
1988020 1620 672.5 1988 1 3
1988020 1980 717.9 1988 1 3
1988021 112 142.4 1988 1 3
1988021 224 255.4 1988 1 3
1988021 364 323.1 1988 1 3
1988021 540 467.1 1988 1 3
1988021 720 541.7 1988 1 3
1988021 900 609.3 1988 1 3
1988021 1260 639.8 1988 1 3
1988021 1620 620.3 1988 1 3
1988021 1980 649.2 1988 1 3
1988023 0 36 1988 1 3
1988023 112 138.7 1988 1 3
1988023 224 257 1988 1 3
1988023 364 337.8 1988 1 3
1988023 540 457.2 1988 1 3
1988023 720 526.7 1988 1 3
