site dose yield soil.nitrogen
1901 0 6.7 70
1901 70 8.58 70
1901 120 10.56 70
1901 170 11.54 70
1901 220 10.63 70
1901 270 11.54 70
1902 0 6.98 80
1902 70 9.94 80
1902 120 10.56 80
1902 170 11.07 80
1902 220 10.79 80
1902 270 10.5 80
1903 0 5.2 60
1903 140 9.85 60
1903 180 10.66 60
1903 220 11.06 60
1903 260 11.4 60
1904 0 5 67
1904 120 9.45 67
1904 170 10.9 67
1904 220 10.83 67
1904 270 11.14 67
1911 0 4.11 44
1911 90 6.53 44
1911 135 7.76 44
1911 180 8.16 44
1911 225 8.48 44
1912 0 4.05 40
1912 80 6.63 40
1912 120 7.81 40
1912 170 8.81 40
1912 220 9.84 40
1912 270 9.8 40
1913 0 10.57 172
1913 60 11.17 172
1913 100 10.96 172
1913 140 11.35 172
1913 180 11.25 172
1913 220 11.29 172
1914 0 6.5 67
1914 95 8.28 67
1914 145 8.53 67
1914 195 8.42 67
1914 245 8.31 67
1915 0 7.8 73
1915 60 9.29 73
1915 100 9.87 73
1915 140 10.28 73
1915 180 10.42 73
1915 220 10.39 73
1916 0 6.37 49
1916 100 9.38 49
1916 150 10.08 49
1916 200 10.52 49
1916 250 10.04 49
1921 0 6.5 91
1921 60 7.78 91
1921 100 8.26 91
1921 140 8.73 91
1921 180 8.88 91
1921 220 8.63 91
1922 0 6.24 78
1922 90 8.64 78
1922 135 9.47 78
1922 180 9.77 78
1922 225 9.79 78
1922 270 9.73 78
1923 0 8.14 141
1923 60 9.72 141
1923 100 10.3 141
1923 140 10.78 141
1923 180 10.8 141
1923 220 10.77 141
1924 0 7.82 180
1924 75 8.55 180
1924 105 8.41 180
1924 145 8.65 180
1924 185 8.44 180
1924 225 8.17 180
1925 0 5 94
1925 120 7 94
1925 160 7.01 94
1925 210 7.44 94
1925 250 7.45 94
1925 290 7.29 94
1926 0 7.34 144
1926 90 8.29 144
1926 135 8.68 144
1926 180 8.93 144
1926 225 8.97 144
1926 270 8.52 144
1927 0 5.72 110
1927 90 7.67 110
1927 135 8.06 110
1927 180 7.94 110
1927 225 8.12 110
1928 0 5.37 124
1928 90 7.72 124
1928 135 8.37 124
1928 180 8.36 124
1928 225 8.3 124
1928 270 7.68 124
1929 0 6.26 109
1929 90 7.97 109
1929 135 8.14 109
1929 180 8.19 109
1929 225 8.26 109
1929 270 7.84 109
19210 0 7.23 110
19210 90 8.73 110
19210 135 8.33 110
19210 180 8.16 110
19210 225 8.12 110
19210 270 7.61 110
19211 0 7.37 110
19211 90 9.07 110
19211 135 9.15 110
19211 180 8.74 110
19211 225 8.49 110
19211 270 8.29 110
1931 0 8.84 108
1931 60 9.79 108
1931 90 9.83 108
1931 135 9.8 108
1931 180 9.34 108
1931 225 8.86 108
1932 0 4.38 48
1932 80 6.66 48
1932 120 7.39 48
1932 160 7.53 48
1932 200 7.67 48
1932 240 7.81 48
1933 0 5.35 85
1933 75 6.9 85
1933 120 7.28 85
1933 165 7.41 85
1933 210 7.17 85
1933 255 6.97 85
1934 0 5.52 70
1934 80 8.12 70
1934 120 9.1 70
1934 160 9.83 70
1934 200 10.12 70
1934 240 10.26 70
931 0 5.12 105
931 80 8.23 105
931 120 9.06 105
931 160 9.39 105
931 200 9.85 105
931 240 10.1 105
932 0 4.47 88
932 50 7.2 88
932 100 8.27 88
932 150 8.9 88
932 200 9.49 88
932 250 9.58 88
932 300 9.66 88
941 0 4.42 84.4
941 120 6.22 84.4
941 160 7.09 84.4
941 200 7.2 84.4
941 240 7.41 84.4
941 280 7.19 84.4
942 0 3.7 42.3
942 120 6.98 42.3
942 160 7.73 42.3
942 200 8.26 42.3
942 240 8.57 42.3
942 280 8.47 42.3
944 0 5.05 76.9
944 120 7.7 76.9
944 160 8.34 76.9
944 200 8.4 76.9
944 240 8.93 76.9
944 280 8.58 76.9
951 0 3.44 74.6
951 80 5.85 74.6
951 120 7.18 74.6
951 160 8.24 74.6
951 200 8.91 74.6
951 240 9.63 74.6
951 280 9.96 74.6
951 320 10.13 74.6
952 0 4.81 63.5
952 80 8.28 63.5
952 120 9.6 63.5
952 160 10.53 63.5
952 200 10.72 63.5
952 240 10.72 63.5
952 280 9.65 63.5
953 0 4.28 43
953 80 7.05 43
953 120 8.33 43
953 160 8.78 43
953 200 9.08 43
953 240 9.2 43
953 280 9.22 43
954 0 4.48 75.7
954 80 6.72 75.7
954 120 7.66 75.7
954 160 8.46 75.7
954 200 8.83 75.7
954 240 8.86 75.7
954 280 8.9 75.7
955 0 5.82 73.7
955 120 7.67 73.7
955 160 8.31 73.7
955 200 8.52 73.7
955 240 8.76 73.7
955 280 8.49 73.7
1961 0 6.59 67
1961 80 8.41 67
1961 120 9.15 67
1961 160 9.55 67
1961 160 10.02 67
1961 160 9.96 67
1961 200 9.53 67
1961 200 10.23 67
19212 0 5.53 71
19212 90 8.14 71
19212 170 9.3 71
19212 250 8.17 71
19212 330 7.65 71
19212 330 7.23 71
